Frames,RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
11,-1415.26,-1046.43,-4582.32,-1446.4,-1072.26,-4506.55,-1493.05,-1068.61,-4366.34,-1449.25,-752.52,-4077.51,-1404.61,-965.235,-3654.48,-1152.52,-1271.55,-4508.08,-1185.01,-1297.86,-4433.03,-1244.01,-1280.25,-4298.65,-1403.25,-922.123,-4120.77,-1551.26,-1044.66,-3685.71,-1409.82,-735.598,-3821.71,-1413.72,-775.219,-3739.89,-1347.94,-807.993,-3501.63,-1438.95,-629.701,-3310.37,-1593.76,-592.492,-3365.92,-1596.85,-771.705,-3741.14,-1681.18,-737.952,-3735.67,-1886.88,-797.467,-3607.95,-1832.23,-667.811,-3369.51,-1674.62,-608.388,-3361.48,-1676.69,-357.99,-3204.42,-1650.03,-498.714,-3299.56,-1634.78,-578.67,-3327.16,-1620.05,-660.994,-3322.9,-1598.99,-786.801,-3389.89,-1579.01,-857.964,-3453.05,-1554.69,-908.896,-3511.93,-1507.25,-989.903,-3570.71,-1487.7,-999.931,-3636.97,
12,-1415.2,-1046.59,-4581.97,-1446.43,-1072.41,-4506.23,-1493.2,-1068.72,-4366.05,-1449.37,-752.672,-4077.18,-1404.61,-965.296,-3654.12,-1152.46,-1271.49,-4507.82,-1185.09,-1297.8,-4432.85,-1244.28,-1280.21,-4298.55,-1403.33,-921.988,-4120.67,-1551.26,-1044.61,-3685.62,-1409.56,-735.816,-3821.69,-1413.71,-775.196,-3739.77,-1348.07,-807.835,-3501.45,-1439.12,-629.878,-3309.9,-1593.9,-592.696,-3365.52,-1596.3,-771.431,-3740.81,-1680.72,-737.902,-3735.43,-1886.61,-797.677,-3608.13,-1832.46,-667.7,-3369.75,-1674.78,-608.543,-3361.2,-1676.18,-357.763,-3204.65,-1649.98,-498.823,-3299.43,-1634.96,-578.88,-3326.86,-1620.29,-661.214,-3322.58,-1599.23,-786.983,-3389.64,-1579.21,-858.117,-3452.83,-1554.84,-909.023,-3511.71,-1507.37,-989.997,-3570.5,-1487.75,-999.969,-3636.75,
13,-1415.35,-1046.6,-4581.79,-1446.69,-1072.38,-4506.08,-1493.57,-1068.62,-4365.95,-1449.39,-752.698,-4076.99,-1404.69,-965.426,-3653.98,-1152.1,-1270.93,-4507.63,-1184.95,-1297.35,-4432.79,-1244.46,-1279.92,-4298.61,-1403.62,-921.855,-4120.54,-1551.42,-1044.6,-3685.47,-1409.26,-736.121,-3821.63,-1413.73,-775.243,-3739.6,-1348.24,-807.69,-3501.22,-1439.3,-629.978,-3309.43,-1594.12,-592.873,-3365.02,-1595.99,-771.442,-3740.61,-1680.42,-737.937,-3735.31,-1886.41,-797.956,-3608.29,-1832.7,-667.738,-3369.94,-1674.99,-608.774,-3360.77,-1676.1,-357.695,-3204.67,-1650.14,-499.011,-3299.13,-1635.22,-579.132,-3326.43,-1620.49,-661.457,-3322.18,-1599.31,-787.135,-3389.38,-1579.24,-858.214,-3452.61,-1554.87,-909.092,-3511.52,-1507.45,-990.069,-3570.35,-1487.86,-1000.03,-3636.6,
14,-1415.3,-1046.94,-4581.54,-1446.88,-1072.64,-4505.9,-1494.04,-1068.72,-4365.87,-1449.34,-752.956,-4076.82,-1404.86,-965.699,-3653.78,-1151.56,-1270.35,-4507.56,-1184.58,-1296.89,-4432.83,-1244.38,-1279.68,-4298.75,-1403.87,-921.884,-4120.43,-1551.75,-1044.55,-3685.37,-1408.86,-736.373,-3821.45,-1413.68,-775.276,-3739.33,-1348.49,-807.734,-3500.87,-1439.24,-629.733,-3309.21,-1594.22,-593.041,-3364.62,-1595.99,-771.809,-3740.65,-1680.35,-738.107,-3735.28,-1886.34,-798.138,-3608.27,-1832.81,-667.864,-3369.91,-1675.11,-608.915,-3360.52,-1676.01,-357.503,-3204.98,-1650.22,-499.118,-3299.04,-1635.4,-579.321,-3326.15,-1620.69,-661.649,-3321.88,-1599.45,-787.282,-3389.13,-1579.35,-858.336,-3452.39,-1554.99,-909.209,-3511.3,-1507.68,-990.212,-3570.19,-1488.1,-1000.15,-3636.45,
15,-1415.1,-1047.33,-4581.38,-1447.01,-1072.88,-4505.83,-1494.52,-1068.73,-4365.93,-1449.23,-753.117,-4076.81,-1405.12,-966.01,-3653.81,-1150.93,-1269.47,-4507.65,-1184.08,-1296.19,-4433.04,-1244.15,-1279.28,-4299.04,-1404.09,-921.908,-4120.27,-1552.2,-1044.54,-3685.28,-1408.46,-736.62,-3821.23,-1413.61,-775.355,-3739.06,-1348.59,-807.711,-3500.53,-1439.11,-629.427,-3309.03,-1594.24,-593.088,-3364.24,-1596.28,-772.396,-3740.97,-1680.52,-738.458,-3735.35,-1886.41,-798.24,-3608.08,-1832.82,-667.942,-3369.74,-1675.13,-608.971,-3360.21,-1675.92,-357.367,-3205.03,-1650.23,-499.174,-3298.83,-1635.46,-579.422,-3325.83,-1620.74,-661.749,-3321.6,-1599.44,-787.299,-3388.99,-1579.35,-858.319,-3452.29,-1555.06,-909.2,-3511.23,-1507.93,-990.287,-3570.14,-1488.42,-1000.28,-3636.41,
16,-1415.15,-1047.49,-4581.43,-1447.18,-1073.01,-4505.92,-1494.82,-1068.76,-4366.05,-1449.27,-753.199,-4076.92,-1405.34,-966.123,-3653.92,-1150.26,-1268.56,-4507.85,-1183.52,-1295.44,-4433.35,-1243.8,-1278.8,-4299.41,-1404.12,-921.831,-4120.19,-1552.55,-1044.46,-3685.3,-1408.27,-736.891,-3821.09,-1413.44,-775.45,-3738.83,-1348.39,-807.57,-3500.29,-1438.89,-629.218,-3308.84,-1594.11,-593.062,-3363.9,-1596.71,-772.986,-3741.49,-1680.9,-738.974,-3735.55,-1886.55,-798.281,-3607.66,-1832.73,-667.793,-3369.49,-1675.01,-608.919,-3359.87,-1675.51,-357.251,-3204.84,-1650.01,-499.165,-3298.52,-1635.32,-579.439,-3325.49,-1620.62,-661.775,-3321.36,-1599.4,-787.235,-3388.94,-1579.38,-858.213,-3452.31,-1555.16,-909.087,-3511.28,-1508.15,-990.239,-3570.19,-1488.68,-1000.27,-3636.47,
17,-1415.24,-1047.58,-4581.62,-1447.25,-1073.12,-4506.11,-1494.86,-1068.88,-4366.24,-1449.36,-753.279,-4077.14,-1405.56,-965.905,-3653.98,-1149.68,-1268.03,-4508.12,-1182.99,-1294.99,-4433.67,-1243.37,-1278.5,-4299.77,-1403.89,-921.719,-4120.33,-1552.9,-1043.92,-3685.52,-1408.21,-737.094,-3821.05,-1413.23,-775.53,-3738.73,-1348.04,-807.263,-3500.17,-1438.48,-629.033,-3308.58,-1593.8,-593.071,-3363.52,-1597.16,-773.365,-3742.04,-1681.4,-739.5,-3735.87,-1886.7,-798.329,-3607.2,-1832.52,-667.449,-3369.32,-1674.72,-608.808,-3359.56,-1674.91,-357.042,-3204.75,-1649.58,-499.095,-3298.27,-1635.01,-579.413,-3325.17,-1620.44,-661.773,-3321.04,-1599.36,-787.218,-3388.69,-1579.42,-858.156,-3452.13,-1555.26,-908.983,-3511.17,-1508.39,-990.066,-3570.29,-1488.95,-999.963,-3636.59,
18,-1414.87,-1047.53,-4581.75,-1446.98,-1073.05,-4506.27,-1494.75,-1068.76,-4366.46,-1449.43,-753.102,-4077.38,-1405.7,-965.893,-3654.3,-1149.15,-1267.48,-4508.35,-1182.57,-1294.56,-4433.99,-1243.1,-1278.24,-4300.13,-1403.62,-921.64,-4120.33,-1553.35,-1043.41,-3685.65,-1408.25,-737.089,-3821.03,-1413,-775.586,-3738.72,-1347.51,-807.09,-3500.22,-1438.15,-628.95,-3308.63,-1593.55,-592.797,-3363.2,-1597.61,-773.668,-3742.56,-1681.86,-739.899,-3736.17,-1886.86,-798.314,-3606.82,-1832.2,-667.41,-3369.06,-1674.47,-608.56,-3359.35,-1675,-356.952,-3204.33,-1649.49,-498.916,-3297.94,-1634.84,-579.203,-3324.89,-1620.23,-661.559,-3320.84,-1599.04,-786.915,-3388.62,-1579.11,-857.796,-3452.12,-1555.06,-908.612,-3511.22,-1508.46,-989.773,-3570.45,-1489.17,-999.691,-3636.8,
19,-1414.32,-1047.7,-4581.74,-1446.46,-1073.22,-4506.27,-1494.3,-1068.9,-4366.48,-1449.34,-753.09,-4077.52,-1405.81,-965.775,-3654.36,-1148.99,-1267.64,-4508.63,-1182.37,-1294.73,-4434.26,-1242.85,-1278.41,-4300.37,-1403.22,-921.813,-4120.46,-1553.66,-1042.87,-3685.82,-1408.33,-736.946,-3821.08,-1412.75,-775.596,-3738.82,-1347.07,-807.083,-3500.36,-1437.83,-628.893,-3308.88,-1593.29,-592.584,-3363.17,-1597.93,-773.816,-3742.99,-1682.22,-740.16,-3736.44,-1886.92,-798.227,-3606.46,-1831.89,-667.36,-3368.77,-1674.24,-608.251,-3359.49,-1674.86,-356.67,-3204.43,-1649.28,-498.633,-3298.02,-1634.65,-578.93,-3324.96,-1620.14,-661.3,-3320.85,-1598.95,-786.703,-3388.54,-1579.03,-857.592,-3452.04,-1555.03,-908.41,-3511.15,-1508.61,-989.565,-3570.53,-1489.36,-999.402,-3636.9,
20,-1413.51,-1047.67,-4581.65,-1445.77,-1073.17,-4506.24,-1493.82,-1068.78,-4366.52,-1449.15,-752.916,-4077.58,-1405.87,-965.792,-3654.49,-1149.24,-1267.86,-4509.16,-1182.46,-1294.95,-4434.72,-1242.7,-1278.63,-4300.73,-1402.99,-922.089,-4120.63,-1553.85,-1042.61,-3685.99,-1408.49,-736.813,-3821.17,-1412.55,-775.649,-3738.98,-1346.67,-807.124,-3500.58,-1437.72,-629.017,-3309.16,-1593.11,-592.286,-3363.36,-1598.12,-773.929,-3743.32,-1682.39,-740.281,-3736.6,-1886.86,-798.025,-3606.11,-1831.62,-667.405,-3368.33,-1674.08,-607.883,-3359.77,-1674.74,-356.547,-3204.26,-1649.13,-498.338,-3298.1,-1634.51,-578.597,-3325.15,-1620.07,-660.981,-3321.07,-1598.91,-786.399,-3388.75,-1579.02,-857.303,-3452.24,-1555.05,-908.15,-3511.33,-1508.74,-989.384,-3570.69,-1489.49,-999.263,-3637.06,
