Frames,RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
226,-800.751,-1371.73,-3818.95,-880.972,-1397.51,-3835.64,-1024.52,-1365.05,-3849.36,-999.69,-948.834,-3742.57,-1111.86,-500.766,-3629.23,-1065.13,-1323.06,-4194.99,-1118.14,-1322.82,-4127.4,-1160.01,-1254.13,-4003.39,-969.17,-868.589,-3989.52,-1140.59,-470.515,-3793.7,-963.707,-520.497,-3619.83,-975.262,-441.473,-3576.22,-1079.54,-281.127,-3416.28,-1127.81,-8.67456,-3406.72,-1152.03,57.0757,-3560.1,-1046.6,-492.854,-3963.02,-1093.65,-415.812,-3951.59,-1185.62,-196.452,-3876.82,-1270.26,44.2769,-3769.41,-1166.19,72.9076,-3639.85,-1214.04,344.385,-3533.11,-1182.68,180.059,-3572.85,-1187.29,95.7289,-3588.8,-1216.77,18.0227,-3599.06,-1194.14,-120.72,-3630.62,-1171.33,-212.654,-3652.57,-1151.84,-289.757,-3670.67,-1175.63,-396.765,-3686.48,-1142.69,-456.015,-3703.14,
227,-798.524,-1370.59,-3820.1,-878.763,-1396.77,-3836.06,-1022.6,-1365,-3848.31,-996.509,-949.104,-3740.58,-1105.13,-500.214,-3627.03,-1014.01,-1316.52,-4192.37,-1071.13,-1321.06,-4128.37,-1125.11,-1257.83,-4006.16,-949.703,-865.475,-3982.85,-1130.08,-468.981,-3791.93,-958.411,-522.784,-3616.27,-970.887,-444.389,-3571.79,-1074.52,-281.984,-3413.52,-1120.54,-9.20898,-3402.18,-1142.01,57.5393,-3555.54,-1047.09,-494.316,-3967.62,-1092.09,-416.491,-3953.51,-1177.14,-195.287,-3876.04,-1255.79,46.9285,-3767.42,-1154.35,74.0123,-3635.46,-1201.51,345.431,-3529.02,-1171.17,180.831,-3568.42,-1176.31,96.6018,-3584.73,-1206.17,19.201,-3596.15,-1183.8,-119.476,-3628.19,-1161.26,-211.458,-3650.22,-1142.07,-288.633,-3668.33,-1166.6,-395.318,-3685.15,-1133.94,-454.838,-3701.37,
228,-796.136,-1369.26,-3820.37,-876.3,-1395.87,-3835.99,-1020.36,-1364.84,-3847.45,-993.6,-949.267,-3738.63,-1098.67,-499.661,-3624.58,-962.181,-1309.55,-4189.5,-1022.94,-1319.17,-4129.55,-1088.91,-1262.19,-4010.18,-931.614,-863.088,-3975.09,-1120.15,-467.709,-3789.83,-953.021,-524.891,-3612.95,-966.475,-447.137,-3567.63,-1069.43,-282.61,-3411.12,-1113.03,-9.51416,-3398.09,-1131.76,58.082,-3551.44,-1047.17,-495.468,-3971.26,-1089.98,-416.864,-3954.88,-1169.05,-193.988,-3875.88,-1241.44,49.4008,-3765.55,-1142.41,75.0691,-3631.5,-1188.82,346.561,-3525.49,-1159.46,181.686,-3564.49,-1165.13,97.546,-3581.08,-1195.4,20.4592,-3593.49,-1173.49,-118.219,-3625.83,-1151.34,-210.295,-3647.86,-1132.53,-287.579,-3665.91,-1157.89,-393.939,-3683.55,-1125.57,-453.77,-3699.32,
229,-794.188,-1368.41,-3822.01,-874.432,-1395.35,-3836.64,-1018.74,-1364.81,-3846.2,-989.527,-949.558,-3736.81,-1092.87,-499.642,-3622.39,-907.77,-1303.26,-4184.17,-972.433,-1317.56,-4129.46,-1051.36,-1266.53,-4015.38,-914.303,-861.45,-3966.56,-1111.16,-467.081,-3787.91,-947.172,-526.933,-3609.9,-961.963,-449.853,-3563.86,-1064.27,-283.519,-3408.83,-1104.96,-10.0377,-3394.54,-1121.01,58.2266,-3547.9,-1046.93,-496.821,-3974.26,-1087.16,-417.212,-3956.26,-1160.57,-192.898,-3875.88,-1227.04,51.4316,-3763.91,-1130.14,75.6564,-3628.05,-1175.99,347.244,-3522.33,-1147.43,182.16,-3561.04,-1153.55,98.1072,-3577.92,-1184.24,21.3356,-3591.21,-1162.95,-117.382,-3623.8,-1141.35,-209.593,-3645.81,-1123.1,-287.027,-3663.79,-1149.61,-392.99,-3682.11,-1117.88,-453.238,-3697.47,
230,-793.447,-1368.02,-3823.18,-873.754,-1395.15,-3837.08,-1018.22,-1364.92,-3845.2,-986.007,-950.14,-3734.87,-1087.37,-499.82,-3620.27,-852.423,-1297.33,-4176.17,-920.949,-1315.78,-4127.78,-1012.94,-1270.31,-4021.39,-898.128,-860.423,-3957.59,-1102.5,-466.743,-3786,-940.952,-528.727,-3607.03,-957.477,-452.369,-3560.38,-1058.98,-284.399,-3406.59,-1096.65,-10.5267,-3391.51,-1109.62,58.2081,-3544.95,-1046.52,-498.356,-3977,-1083.67,-417.602,-3957.55,-1151.51,-191.95,-3876.03,-1212.15,53.2656,-3762.69,-1117.21,75.9503,-3625.19,-1162.04,347.875,-3519.96,-1134.52,182.527,-3558.29,-1141.22,98.5613,-3575.38,-1172.55,22.1804,-3589.4,-1152.36,-116.696,-3622.02,-1131.54,-209.115,-3643.9,-1113.97,-286.738,-3661.75,-1141.64,-392.292,-3680.71,-1110.5,-452.952,-3695.66,
231,-792.681,-1367.32,-3824.02,-872.988,-1394.69,-3837.45,-1017.59,-1364.85,-3844.52,-982.579,-950.641,-3732.89,-1081.38,-499.713,-3618.46,-795.577,-1290.98,-4165.45,-867.537,-1313.22,-4124.15,-971.869,-1273.17,-4027.4,-882.096,-859.752,-3948.15,-1093.15,-466.264,-3784.39,-934.665,-530.348,-3604.15,-952.918,-454.679,-3557.02,-1053.58,-285.144,-3404.4,-1088.25,-10.9078,-3388.76,-1098.18,58.3398,-3542.19,-1046.17,-499.801,-3979.58,-1079.69,-417.862,-3958.54,-1141.97,-190.922,-3876.16,-1196.81,55.1665,-3761.77,-1104.14,76.4191,-3622.5,-1148.96,348.464,-3517.36,-1121.87,183.021,-3555.58,-1128.88,99.1548,-3573.04,-1160.68,23.1278,-3587.89,-1141.38,-115.85,-3620.61,-1121.22,-208.442,-3642.39,-1104.27,-286.236,-3660.09,-1133.07,-391.368,-3679.71,-1102.53,-452.448,-3694.18,
232,-793.475,-1367.49,-3823.67,-873.756,-1394.84,-3837.29,-1018.34,-1364.95,-3844.54,-979.822,-951.499,-3731.27,-1075.08,-499.818,-3616.79,-741.212,-1283.6,-4154.5,-815.419,-1309.44,-4119.8,-929.582,-1274.93,-4032.48,-866.727,-859.539,-3938.93,-1083.49,-466.03,-3782.86,-928.249,-531.753,-3601.28,-948.112,-456.857,-3553.57,-1048.27,-285.91,-3402.2,-1079.75,-11.2954,-3386.44,-1086.09,58.3199,-3539.9,-1045.93,-501.58,-3981.8,-1075.4,-418.429,-3959.49,-1131.93,-190.228,-3876.45,-1180.82,56.7136,-3761.2,-1090.41,76.609,-3620.26,-1135.23,348.913,-3515.39,-1108.55,183.359,-3553.42,-1115.85,99.5833,-3571.19,-1148.17,23.9193,-3586.77,-1129.91,-115.216,-3619.42,-1110.48,-208.01,-3641,-1094.2,-285.986,-3658.53,-1124.14,-390.678,-3678.79,-1094.24,-452.175,-3692.81,
233,-795.549,-1368.19,-3822.49,-875.796,-1395.29,-3836.8,-1020.22,-1364.92,-3845.09,-977.372,-952.483,-3729.69,-1068.76,-499.961,-3615.38,-688.461,-1275.2,-4142.22,-764.111,-1304.39,-4113.87,-886.322,-1275.35,-4035.96,-852.043,-859.591,-3929.99,-1073.71,-465.873,-3781.52,-921.668,-533.16,-3598.03,-943.124,-458.877,-3550.05,-1042.88,-286.646,-3399.88,-1071.19,-11.6658,-3384.49,-1073.54,58.2614,-3537.91,-1046.11,-503.5,-3983.62,-1071.06,-419.198,-3960.16,-1121.6,-189.74,-3876.72,-1164.24,58.0942,-3760.91,-1076.17,76.6981,-3618.32,-1120.93,349.312,-3513.71,-1094.71,183.646,-3551.58,-1102.33,99.9677,-3569.66,-1135.18,24.6808,-3585.96,-1118.03,-114.63,-3618.46,-1099.4,-207.639,-3639.82,-1083.86,-285.807,-3657.16,-1115.02,-390.009,-3678.08,-1085.83,-451.948,-3691.66,
234,-798.159,-1369.6,-3819.73,-878.278,-1396.3,-3835.44,-1022.38,-1365.18,-3846.22,-975.347,-953.782,-3728.75,-1061.6,-500.28,-3614.34,-636.499,-1266.32,-4127.62,-713.06,-1298.5,-4105.69,-842.061,-1274.66,-4037.57,-837.264,-860.21,-3921.53,-1062.22,-465.642,-3780.44,-914.723,-534.611,-3594.41,-937.864,-460.836,-3546.44,-1037.21,-287.201,-3397.61,-1062.81,-11.9442,-3382.42,-1061.48,58.0189,-3535.85,-1046.7,-505.717,-3984.98,-1066.8,-420.375,-3960.63,-1110.88,-189.643,-3877.05,-1146.84,59.1046,-3760.93,-1061.96,76.5433,-3616.27,-1107.3,349.464,-3512.24,-1081.3,183.693,-3549.8,-1089.11,100.109,-3568.24,-1122.31,25.1702,-3585.39,-1105.95,-114.3,-3617.62,-1087.89,-207.492,-3638.67,-1072.88,-285.806,-3655.81,-1104.91,-389.534,-3677.75,-1076.24,-451.818,-3690.84,
235,-801.537,-1370.89,-3816.69,-881.457,-1397.17,-3834.03,-1025.12,-1365.2,-3847.76,-973.987,-954.955,-3728.02,-1054.06,-500.427,-3613.18,-586.869,-1256.36,-4111.08,-663.801,-1291.25,-4095.51,-798.32,-1272.39,-4037.22,-822.872,-860.849,-3913.56,-1050.57,-465.509,-3779.19,-907.36,-536.11,-3590.53,-932.095,-462.727,-3542.74,-1031.23,-287.634,-3395.5,-1054.57,-12.1547,-3380.71,-1049.24,57.8575,-3534.02,-1047.26,-507.63,-3985.68,-1062.38,-421.46,-3960.66,-1100.11,-189.583,-3877.13,-1129.54,59.9922,-3760.95,-1047.72,76.4142,-3614.42,-1092.99,349.691,-3510.93,-1067.58,183.771,-3548.23,-1075.72,100.293,-3567,-1109.32,25.717,-3584.94,-1093.82,-113.919,-3616.87,-1076.35,-207.295,-3637.6,-1061.85,-285.757,-3654.5,-1094.62,-389.064,-3677.33,-1066.42,-451.667,-3689.9,
236,-805.394,-1372.42,-3813.19,-885.008,-1398.21,-3832.56,-1028.05,-1365.27,-3849.96,-973.254,-956.398,-3727.19,-1046.4,-500.763,-3612.12,-539.489,-1246.38,-4091.51,-616.468,-1283.47,-4082.72,-755.628,-1269.01,-4035.03,-808.257,-861.772,-3906.03,-1038.55,-465.838,-3777.98,-899.469,-537.885,-3586.62,-925.709,-464.862,-3539.09,-1024.85,-288.365,-3393.54,-1046.4,-12.7211,-3379.11,-1037.16,57.3273,-3532.22,-1047.18,-509.323,-3985.79,-1057.21,-422.536,-3960.34,-1088.8,-189.655,-3877.06,-1111.97,60.631,-3760.99,-1033.49,75.9761,-3612.53,-1078.58,349.482,-3509.31,-1053.9,183.434,-3546.53,-1062.4,100.096,-3565.75,-1096.32,25.8962,-3584.62,-1081.54,-113.853,-3616.4,-1064.61,-207.393,-3636.83,-1050.59,-286.001,-3653.46,-1084.06,-388.89,-3677.14,-1056.34,-451.831,-3689.08,
237,-808.755,-1373.49,-3808.92,-887.912,-1398.89,-3830.54,-1030.18,-1365.12,-3852.2,-972.675,-957.462,-3726.65,-1037.99,-500.787,-3610.99,-494.731,-1235.7,-4069.74,-571.243,-1274.7,-4067.85,-714.017,-1264.37,-4031,-793.68,-862.475,-3899.13,-1025.94,-465.943,-3776.61,-891.409,-539.639,-3582.71,-918.801,-466.974,-3535.28,-1017.99,-288.806,-3391.81,-1038.22,-13.0541,-3377.53,-1025.58,57.0415,-3530.37,-1045.63,-510.348,-3985.29,-1050.5,-423.182,-3959.63,-1076.96,-189.546,-3876.68,-1094.98,61.264,-3760.83,-1019.88,75.7699,-3610.55,-1064.57,349.447,-3507.56,-1040.74,183.265,-3544.74,-1049.63,100.072,-3564.41,-1083.79,26.2178,-3584.19,-1069.51,-113.614,-3615.84,-1052.96,-207.282,-3635.99,-1039.27,-286.005,-3652.36,-1073.1,-388.583,-3676.85,-1045.68,-451.771,-3688.15,
238,-811.553,-1374.65,-3805.64,-890.313,-1399.63,-3829.13,-1031.75,-1364.92,-3854.44,-970.828,-958.464,-3726.63,-1028.77,-501.134,-3609.65,-452.974,-1225.93,-4044,-528.64,-1266.15,-4049.95,-674.26,-1259.06,-4025.59,-779.172,-863.271,-3892.91,-1013.43,-466.506,-3775.04,-882.841,-541.53,-3578.76,-911.395,-469.26,-3531.41,-1010.92,-289.417,-3390.28,-1029.96,-13.5687,-3376.22,-1013.88,56.5442,-3528.73,-1042.07,-511.094,-3984.81,-1041.77,-423.925,-3958.71,-1064.38,-189.748,-3876.14,-1078.87,61.3835,-3760.49,-1006.58,75.2881,-3608.78,-1050.82,349.118,-3506.09,-1027.78,182.806,-3543.18,-1036.99,99.7235,-3563.17,-1071.27,26.1108,-3583.64,-1057.27,-113.785,-3615.12,-1040.98,-207.558,-3635.01,-1027.57,-286.38,-3651.12,-1061.77,-388.694,-3676.2,-1034.66,-452.111,-3686.96,
239,-813.783,-1375.43,-3802.17,-892.095,-1400.12,-3827.4,-1032.69,-1364.73,-3856.18,-969.092,-959.421,-3726.04,-1019.63,-501.297,-3608.73,-415.171,-1216.91,-4017.25,-489.401,-1257.92,-4030.91,-636.662,-1253.55,-4018.9,-764.975,-864.276,-3887.54,-999.613,-466.586,-3773.6,-874.097,-543.482,-3574.51,-903.545,-471.38,-3527.46,-1003.5,-289.815,-3388.85,-1021.94,-13.949,-3374.37,-1002.81,56.1125,-3526.56,-1036.45,-511.111,-3984.15,-1031.14,-424.264,-3957.51,-1050.19,-189.62,-3875.38,-1061.45,61.7928,-3759.98,-993.197,74.9241,-3606.34,-1037.23,348.898,-3504.19,-1015.05,182.427,-3541.09,-1024.59,99.4921,-3561.53,-1058.91,26.2032,-3583.05,-1045.13,-113.746,-3614.39,-1029.03,-207.613,-3633.98,-1015.79,-286.513,-3649.85,-1050.03,-388.547,-3675.99,-1023.09,-452.143,-3686.11,
240,-814.783,-1375.8,-3799.77,-892.756,-1400.31,-3826.19,-1032.69,-1364.44,-3857.52,-966.309,-960.183,-3725.51,-1009.62,-501.51,-3607.45,-381.609,-1207.35,-3993.17,-453.94,-1249.2,-4013.04,-601.734,-1247.69,-4011.08,-751.534,-865.035,-3883.05,-986.69,-466.845,-3771.96,-865.084,-545.686,-3570.08,-895.086,-473.572,-3523.4,-996.004,-290.403,-3387.63,-1013.49,-14.4879,-3372.89,-991.057,55.6306,-3524.59,-1028.46,-510.696,-3983.14,-1018.61,-424.315,-3956.28,-1035.09,-189.293,-3874.67,-1044.29,62.363,-3759.62,-980.037,74.4656,-3604.19,-1022.97,348.61,-3502.32,-1001.9,181.976,-3539.14,-1011.91,99.165,-3559.86,-1046.45,26.1702,-3582.02,-1033.12,-113.835,-3613.31,-1017.29,-207.782,-3632.73,-1004.23,-286.745,-3648.44,-1038.45,-388.631,-3675.19,-1011.58,-452.329,-3684.86,
241,-814.623,-1375.99,-3796.96,-892.26,-1400.39,-3824.45,-1031.5,-1364.12,-3858.3,-962.534,-960.652,-3725.2,-999.02,-501.711,-3605.89,-351.628,-1198.76,-3969.21,-421.84,-1241.12,-3994.78,-569.467,-1241.91,-4002.17,-738.289,-865.578,-3879.18,-973.671,-466.985,-3770.03,-855.793,-547.896,-3565.29,-886.44,-475.637,-3519.25,-988.246,-290.63,-3386.68,-1004.86,-14.6881,-3371.44,-979.095,55.3688,-3522.65,-1018.53,-510.003,-3982.14,-1004.53,-424.281,-3955.01,-1018.75,-188.882,-3874.07,-1026.33,63.0515,-3759.51,-966.891,74.1136,-3602.09,-1009.15,348.568,-3501.03,-988.851,181.744,-3537.42,-999.184,98.9899,-3558.21,-1033.87,26.2012,-3580.82,-1020.9,-113.888,-3611.88,-1005.28,-207.915,-3631.08,-992.372,-286.931,-3646.65,-1026.54,-388.689,-3673.93,-999.745,-452.461,-3683.28,
242,-813.2,-1376.05,-3795.27,-890.7,-1400.38,-3823.2,-1029.5,-1363.82,-3858.49,-957.503,-960.989,-3725.09,-987.972,-501.915,-3604.6,-325.028,-1191.87,-3946.54,-393.117,-1234.51,-3976.93,-540.099,-1237.05,-3992.39,-724.821,-866.179,-3875.82,-960.01,-467.035,-3768.28,-846.495,-550.051,-3560.62,-877.522,-477.588,-3515.16,-980.382,-290.914,-3385.78,-996.026,-14.9453,-3370.01,-967.005,55.0387,-3520.66,-1007,-508.983,-3981.16,-989.166,-424.085,-3953.7,-1001.4,-188.359,-3873.39,-1007.69,63.8202,-3759.29,-953.524,73.7278,-3599.9,-995.681,348.485,-3499.78,-975.801,181.497,-3535.65,-986.303,98.7805,-3556.5,-1021.09,26.2026,-3579.63,-1008.48,-113.954,-3610.54,-993.03,-208.046,-3629.56,-980.204,-287.1,-3645,-1014.2,-388.747,-3672.91,-987.393,-452.566,-3681.93,
243,-812.242,-1376.22,-3793.96,-889.686,-1400.45,-3822.13,-1028.09,-1363.48,-3858.54,-952.951,-961.354,-3724.72,-977.139,-501.998,-3603.89,-303.031,-1188.02,-3926.24,-369.364,-1230.47,-3960.54,-515.482,-1233.68,-3982.64,-711.436,-866.557,-3872.74,-946.637,-466.92,-3767.07,-836.976,-551.963,-3556.28,-868.501,-479.374,-3511.37,-972.595,-291.348,-3384.96,-986.681,-15.3091,-3368.94,-953.97,54.6104,-3518.86,-994.052,-507.639,-3980.18,-972.697,-423.645,-3952.44,-983.387,-187.679,-3872.62,-988.769,64.6774,-3758.86,-939.253,73.2698,-3597.9,-980.7,348.416,-3498.6,-961.529,181.241,-3533.98,-972.383,98.5895,-3554.91,-1007.53,26.3679,-3578.6,-995.855,-113.864,-3609.53,-980.836,-208.043,-3628.46,-968.256,-287.148,-3643.84,-1002.09,-388.667,-3672.41,-975.29,-452.528,-3681.12,
244,-810.118,-1376.53,-3794.86,-887.87,-1400.52,-3822.38,-1026.27,-1362.93,-3858.18,-946.642,-961.733,-3724.19,-964.24,-502.012,-3603.6,-283.335,-1186.5,-3909.17,-348.382,-1228.54,-3946.32,-493.678,-1231.73,-3973.31,-696.835,-866.788,-3869.38,-931.498,-466.189,-3766.19,-827.472,-553.457,-3552.14,-859.402,-480.562,-3508.01,-964.795,-291.405,-3384.41,-977.171,-15.298,-3368.15,-941.079,54.478,-3517.36,-979.679,-506.345,-3979.41,-955.392,-423.29,-3951.27,-964.898,-187.086,-3871.99,-969.813,65.4741,-3758.67,-925.252,73.0153,-3596.21,-966.83,348.669,-3498.36,-947.779,181.297,-3532.85,-958.731,98.626,-3553.66,-994.133,26.662,-3577.75,-983.202,-113.66,-3608.54,-968.344,-207.888,-3627.36,-955.682,-286.979,-3642.75,-988.714,-388.547,-3672.07,-961.484,-452.249,-3680.62,
245,-808.835,-1377.79,-3795.1,-887.019,-1401.03,-3822.04,-1025.07,-1361.85,-3857.48,-939.069,-961.935,-3723.6,-951.274,-501.899,-3603.55,-266.33,-1188.85,-3895.43,-330.738,-1229.94,-3934.7,-475.345,-1231.81,-3965.27,-680.724,-866.876,-3865.78,-915.432,-465.596,-3765.38,-817.858,-554.685,-3548.42,-850.061,-481.383,-3505.18,-957.049,-291.397,-3384.24,-967.585,-15.2216,-3367.85,-927.869,54.327,-3516.25,-963.999,-505.096,-3978.91,-937.033,-423.027,-3950.32,-945.949,-186.678,-3871.41,-951.078,65.9855,-3758.33,-910.503,72.7417,-3594.8,-952.79,348.951,-3498.62,-933.6,181.389,-3532.11,-944.53,98.6987,-3552.84,-980.137,27.0477,-3577.55,-970.029,-113.361,-3608.23,-955.364,-207.658,-3626.86,-942.639,-286.76,-3642.13,-974.802,-388.374,-3672.25,-947.169,-451.957,-3680.39,
246,-807.655,-1379.36,-3796.96,-886.56,-1401.54,-3822.67,-1024.42,-1360.28,-3856.46,-930.547,-962.026,-3722.9,-936.792,-501.629,-3603.77,-251.783,-1194.36,-3885.86,-316.221,-1234.13,-3926.41,-460.397,-1233.68,-3959.01,-663.764,-867.014,-3861.79,-898.084,-464.671,-3764.79,-807.506,-555.572,-3544.9,-840.472,-481.913,-3502.85,-949.416,-291.341,-3384.61,-957.694,-15.1038,-3367.98,-914.401,54.1608,-3515.51,-946.532,-503.96,-3978.43,-917.529,-422.682,-3949.57,-926.47,-186.213,-3871.03,-932.368,66.559,-3758.23,-895.607,72.4449,-3593.76,-938.057,349.236,-3499.1,-918.968,181.48,-3531.66,-930.02,98.7903,-3552.33,-966.027,27.5494,-3577.64,-957.079,-112.939,-3608.32,-942.577,-207.292,-3626.78,-929.602,-286.373,-3641.96,-960.186,-388.263,-3672.78,-931.687,-451.521,-3680.45,
247,-806.373,-1381.26,-3799.5,-886.17,-1401.99,-3823.62,-1023.73,-1358,-3855.1,-920.728,-961.821,-3722.12,-921.509,-501.107,-3604.07,-239.692,-1203.29,-3877.96,-304.447,-1241.06,-3919.91,-448.095,-1236.9,-3954.51,-645.907,-867.154,-3857.47,-879.629,-463.593,-3764.16,-796.872,-556.18,-3541.64,-830.521,-482.197,-3500.72,-941.731,-291.142,-3385.41,-947.862,-14.8641,-3368.53,-900.835,54.1022,-3515.04,-927.159,-502.942,-3977.99,-896.78,-422.23,-3948.96,-906.382,-185.685,-3870.72,-913.684,67.1641,-3758.17,-880.471,72.2761,-3592.93,-923.34,349.59,-3499.67,-904.219,181.677,-3531.39,-915.328,99.001,-3552.09,-951.688,28.1979,-3578.11,-943.876,-112.342,-3608.86,-929.457,-206.744,-3627.14,-916.127,-285.798,-3642.15,-944.829,-388.043,-3673.59,-915.322,-450.914,-3680.61,
248,-805.868,-1383.69,-3801.95,-886.631,-1402.44,-3824.41,-1023.54,-1354.86,-3853.42,-910.086,-961.341,-3721.04,-905.533,-500.304,-3604.34,-230.062,-1214.42,-3873.46,-295.592,-1249.77,-3916.3,-438.777,-1240.97,-3951.93,-627.788,-867.105,-3853.18,-860.518,-462.166,-3763.43,-785.715,-556.296,-3538.29,-820.251,-482.111,-3498.49,-934.137,-290.642,-3386.53,-938.072,-14.3312,-3369.53,-886.868,54.1716,-3514.86,-905.797,-501.936,-3977.85,-874.599,-421.755,-3948.22,-885.512,-185.129,-3870.4,-894.965,67.8163,-3758.23,-864.935,72.1691,-3592.36,-907.398,350.061,-3500.32,-888.716,181.965,-3531.33,-900.108,99.3441,-3552.09,-937.01,29.0851,-3578.82,-930.673,-111.506,-3609.67,-916.41,-205.97,-3627.75,-902.684,-284.995,-3642.55,-929.125,-387.692,-3674.51,-898.392,-450.054,-3680.76,
249,-803.953,-1386.12,-3805.43,-885.794,-1402.65,-3825.62,-1022.01,-1351.15,-3850.95,-897.683,-960.535,-3719.73,-888.59,-499.184,-3604.54,-221.739,-1226.64,-3869.6,-287.968,-1259.13,-3913.61,-430.358,-1244.93,-3950.66,-609.034,-866.88,-3848.63,-840.072,-460.212,-3762.4,-774.114,-555.923,-3534.07,-809.738,-481.326,-3496.04,-926.558,-289.354,-3388.03,-928.21,-13.0426,-3370.65,-873.219,54.8818,-3514.86,-882.29,-501.171,-3977.44,-850.967,-421.185,-3947.42,-863.857,-184.504,-3870.07,-876.156,68.5233,-3758.36,-849.522,72.6134,-3591.9,-892.836,351.086,-3501.63,-873.932,182.837,-3531.65,-885.244,100.203,-3552.41,-922.308,30.2969,-3579.83,-916.826,-110.367,-3610.52,-902.427,-204.879,-3628.24,-888.12,-283.852,-3642.76,-912.218,-386.944,-3675.29,-880.293,-448.78,-3680.74,
250,-801.589,-1388.97,-3808.84,-884.487,-1402.76,-3826.63,-1019.53,-1346.58,-3847.98,-883.727,-959.374,-3718.05,-870.778,-497.668,-3604.67,-214.503,-1238.45,-3867.97,-281.588,-1268.04,-3912.72,-423.146,-1248.33,-3950.43,-590.209,-866.198,-3844.06,-818.943,-457.534,-3761.18,-762.213,-554.869,-3529.39,-798.94,-479.923,-3493.14,-918.875,-287.345,-3389.72,-918.433,-11.0549,-3371.94,-859.639,56.1691,-3514.98,-856.972,-500.325,-3976.87,-826.026,-420.389,-3946.33,-841.379,-183.649,-3869.62,-857.186,69.4678,-3758.56,-834.23,73.5547,-3591.55,-878.588,352.62,-3503.22,-859.348,184.223,-3532.18,-870.504,101.553,-3552.88,-907.62,31.9067,-3580.88,-902.77,-108.854,-3611.23,-888.096,-203.402,-3628.53,-873.08,-282.296,-3642.76,-894.654,-385.764,-3675.87,-861.458,-446.989,-3680.57,
251,-799.015,-1392.13,-3812.44,-882.888,-1402.5,-3827.82,-1016.08,-1340.7,-3844.86,-868.043,-957.811,-3715.5,-852.735,-495.562,-3604.65,-208.465,-1249.34,-3868.16,-276.491,-1276.1,-3913.27,-417.181,-1251.01,-3951.03,-571.663,-865.104,-3839.39,-797.692,-454.295,-3759.76,-750.058,-552.959,-3524.61,-787.917,-477.833,-3489.93,-911.079,-284.822,-3391.21,-908.754,-8.53552,-3373.53,-846.045,57.9758,-3515.23,-830.308,-499.148,-3976.01,-800.154,-419.211,-3944.7,-818.204,-182.364,-3868.9,-837.818,70.9172,-3758.83,-818.975,75.0177,-3591.31,-864.236,354.595,-3504.63,-844.742,186.083,-3532.74,-855.761,103.399,-3553.45,-892.911,34.0072,-3582.04,-888.65,-106.84,-3612.07,-873.677,-201.421,-3628.92,-857.928,-280.229,-3642.84,-876.915,-384.064,-3676.38,-842.447,-444.64,-3680.26,
252,-796.835,-1395.7,-3815.32,-881.473,-1401.81,-3828.65,-1011.75,-1333.23,-3841.85,-850.742,-955.694,-3712.24,-834.641,-492.779,-3604.33,-204.247,-1259.08,-3868.98,-273.051,-1283.15,-3914.42,-412.68,-1252.93,-3952.35,-554.226,-863.712,-3835.18,-776.389,-450.344,-3757.95,-737.813,-550.237,-3519.92,-776.715,-475.079,-3486.48,-903.056,-281.661,-3392.71,-899.216,-5.37024,-3375.36,-832.419,60.2317,-3515.6,-802.64,-497.77,-3974.68,-773.761,-417.687,-3942.54,-794.445,-180.681,-3867.92,-817.792,72.8397,-3759.14,-803.66,76.8604,-3591.15,-848.846,356.982,-3505.8,-829.68,188.329,-3533.29,-840.829,105.691,-3554.11,-878.21,36.6741,-3583.3,-874.896,-104.257,-3613.06,-859.733,-198.891,-3629.44,-843.25,-277.614,-3642.98,-859.338,-381.855,-3676.77,-823.456,-441.659,-3679.68,
253,-794.738,-1399.72,-3817.76,-879.845,-1400.65,-3829.35,-1005.97,-1324.17,-3838.98,-831.113,-953.339,-3707.98,-817.013,-489.531,-3603.68,-200.913,-1266.7,-3870.63,-270.489,-1288.58,-3916.01,-409.147,-1253.99,-3953.78,-537.771,-861.91,-3831.37,-755.715,-445.997,-3755.79,-725.449,-546.678,-3515.37,-765.396,-471.625,-3482.95,-894.886,-277.794,-3394.47,-889.572,-1.51929,-3377.25,-818.603,63.0356,-3515.92,-774.124,-496.204,-3972.67,-746.847,-415.799,-3939.95,-770.282,-178.649,-3866.61,-797.533,75.0951,-3759.26,-788.233,79.1902,-3590.94,-833.327,359.866,-3506.87,-814.484,191.085,-3533.78,-825.749,108.491,-3554.72,-863.343,39.8147,-3584.43,-860.964,-101.21,-3613.84,-845.68,-195.91,-3629.71,-828.562,-274.566,-3642.85,-842.024,-379.126,-3676.8,-804.917,-438.218,-3678.76,
