Seconds,Spine4_ry - origin Distance [mm],Spine4_ry - origin Distance [mm],Spine4_ry - origin Distance [mm],Spine3_ty - origin Distance [mm],Spine3_ty - origin Distance [mm],Spine3_ty - origin Distance [mm],Spine2_ty - origin Distance [mm],Spine2_ty - origin Distance [mm],Spine2_ty - origin Distance [mm],Spine1_ty - origin Distance [mm],Spine1_ty - origin Distance [mm],Spine1_ty - origin Distance [mm],Spine_ty - origin Distance [mm],Spine_ty - origin Distance [mm],Spine_ty - origin Distance [mm],Neck_ry - origin Distance [mm],Neck_ry - origin Distance [mm],Neck_ry - origin Distance [mm],Head_ry - origin Distance [mm],Head_ry - origin Distance [mm],Head_ry - origin Distance [mm],HeadEE - origin Distance [mm],HeadEE - origin Distance [mm],HeadEE - origin Distance [mm],LeftShoulder_ry - origin Distance [mm],LeftShoulder_ry - origin Distance [mm],LeftShoulder_ry - origin Distance [mm],LeftArm_tx - origin Distance [mm],LeftArm_tx - origin Distance [mm],LeftArm_tx - origin Distance [mm],LeftForeArm_rx - origin Distance [mm],LeftForeArm_rx - origin Distance [mm],LeftForeArm_rx - origin Distance [mm],LeftHand_rx - origin Distance [mm],LeftHand_rx - origin Distance [mm],LeftHand_rx - origin Distance [mm],LeftHandEE - origin Distance [mm],LeftHandEE - origin Distance [mm],LeftHandEE - origin Distance [mm],RightShoulder_ry - origin Distance [mm],RightShoulder_ry - origin Distance [mm],RightShoulder_ry - origin Distance [mm],RightArm_tx - origin Distance [mm],RightArm_tx - origin Distance [mm],RightArm_tx - origin Distance [mm],RightForeArm_rx - origin Distance [mm],RightForeArm_rx - origin Distance [mm],RightForeArm_rx - origin Distance [mm],RightHand_rx - origin Distance [mm],RightHand_rx - origin Distance [mm],RightHand_rx - origin Distance [mm],RightHandEE - origin Distance [mm],RightHandEE - origin Distance [mm],RightHandEE - origin Distance [mm],LeftUpLeg_tx - origin Distance [mm],LeftUpLeg_tx - origin Distance [mm],LeftUpLeg_tx - origin Distance [mm],LeftLeg_rx - origin Distance [mm],LeftLeg_rx - origin Distance [mm],LeftLeg_rx - origin Distance [mm],LeftFoot_rx - origin Distance [mm],LeftFoot_rx - origin Distance [mm],LeftFoot_rx - origin Distance [mm],LeftToeBase_rx - origin Distance [mm],LeftToeBase_rx - origin Distance [mm],LeftToeBase_rx - origin Distance [mm],LeftFootEE - origin Distance [mm],LeftFootEE - origin Distance [mm],LeftFootEE - origin Distance [mm],RightUpLeg_tx - origin Distance [mm],RightUpLeg_tx - origin Distance [mm],RightUpLeg_tx - origin Distance [mm],RightLeg_rx - origin Distance [mm],RightLeg_rx - origin Distance [mm],RightLeg_rx - origin Distance [mm],RightFoot_rx - origin Distance [mm],RightFoot_rx - origin Distance [mm],RightFoot_rx - origin Distance [mm],RightToeBase_rx - origin Distance [mm],RightToeBase_rx - origin Distance [mm],RightToeBase_rx - origin Distance [mm],RightFootEE - origin Distance [mm],RightFootEE - origin Distance [mm],RightFootEE - origin Distance [mm],
0,78.415,1007.66,557.197,23.573,871.336,588.123,14.7054,770.766,596.874,18.9167,685.928,593.531,5.7351,571.908,581.235,142.332,1063.18,535.987,162.088,1149.51,522.512,142.638,1326.6,503.038,161.295,1021.97,585.211,146.169,1028.75,722.954,150.651,780.094,855.058,296.435,751.358,651.184,299.833,695.137,578.353,147.296,1008.59,501.401,87.872,974.223,380.839,50.5924,706.86,300.648,292.791,636.348,304.055,384.671,634.464,298.478,81.5066,470.614,644.224,575.97,510.306,668.42,456.405,83.0511,684.939,579.682,23.9086,720.378,659.905,26.4491,737.567,59.4206,503.332,469.949,519.779,512.385,283.883,412.85,83.4066,243.15,531.283,23.8199,194.424,608.38,25.8654,166.327,
0.0166667,77.7796,1008.48,556.913,23.0297,872.185,588.147,14.2261,771.628,597.108,18.4939,686.787,593.893,5.3846,572.752,581.668,141.682,1063.98,535.623,161.456,1150.27,521.92,142.075,1327.31,501.917,160.607,1022.95,584.999,145.57,1029.6,722.758,153.49,780.416,853.713,298.178,749.947,649.311,302.92,693.242,576.932,146.736,1009.32,501.208,86.6107,974.507,381.121,50.6837,707.404,299.461,292.742,636.46,303.779,384.634,635.515,298.157,81.103,471.51,644.805,575.645,510.606,668.353,456.579,83.2164,684.982,579.897,24.3218,720.69,660.095,27.0189,737.97,59.2653,504.16,470.486,519.761,512.357,284.719,412.746,83.4233,243.737,531.115,23.7918,194.911,608.176,25.7818,166.71,
0.0333333,77.0199,1009.35,556.766,22.6842,872.918,588.105,14.0473,772.359,597.207,18.3758,687.515,594.15,5.0757,573.476,582.169,140.759,1065.05,535.476,160.336,1151.36,521.663,140.594,1328.33,501.383,159.772,1024.13,584.916,144.487,1030.65,722.654,157.592,780.604,851.537,300.677,748.099,646.321,306.965,690.758,574.564,146.027,1010.36,501.128,85.5277,974.893,381.419,51.0401,707.846,298.959,293.02,636.66,303.641,384.886,636.47,297.549,80.5425,472.227,645.595,575.145,510.867,668.611,456.862,83.2394,684.704,580.345,24.6712,720.381,660.544,27.5761,737.622,58.8848,504.509,471.185,519.455,512.37,285.59,412.972,83.3682,243.949,531.326,23.8651,194.932,608.331,25.9121,166.585,
0.05,75.9489,1010.68,556.847,21.8861,874.179,588.388,13.3876,773.621,597.631,17.7973,688.777,594.701,4.52541,574.712,582.936,139.582,1066.44,535.437,159.083,1152.75,521.423,139.253,1329.66,500.792,158.702,1025.63,584.9,142.877,1032.22,722.573,162.834,780.999,848.25,304.002,745.948,642.127,312.208,687.746,571.262,144.9,1011.74,501.14,84.4674,975.369,381.671,51.5487,708.141,299.155,293.515,636.885,303.481,385.343,637.475,296.859,80.0817,473.604,646.479,574.81,510.689,669.347,456.817,82.9375,684.228,580.455,24.5602,719.679,660.671,27.6081,736.815,58.2439,505.549,472.03,518.942,512.052,286.701,413.116,83.0265,243.656,531.493,23.6852,194.496,608.465,25.8117,166.064,
0.0666667,74.5408,1011.02,557.044,21.1381,874.323,588.861,12.9528,773.751,598.234,17.5232,688.915,595.33,4.16405,574.865,583.515,137.895,1067.05,535.505,157.026,1153.38,521.153,136.493,1330.13,499.83,157.22,1026.43,585.068,140.816,1034,722.623,169.011,781.46,843.996,308.078,743.434,636.975,318.516,684.557,566.966,143.487,1012.3,501.336,83.3526,975.756,381.77,51.8952,708.197,299.757,293.962,637.243,303.353,385.726,638.628,295.995,79.5804,473.596,646.968,574.289,510.638,670.331,457.068,82.6154,683.413,580.898,24.5839,718.763,661.101,27.8661,735.917,57.8226,505.753,472.548,518.396,512.29,286.91,413.759,82.9881,243.71,532.07,23.814,194.19,608.912,26.0329,165.416,
0.0833333,72.7999,1011.75,557.258,19.9459,874.905,589.342,12.0526,774.321,598.829,16.8009,689.494,595.946,3.49916,575.442,584.095,135.919,1067.99,535.571,154.734,1154.33,520.847,133.603,1330.92,498.798,155.435,1027.53,585.208,138.606,1035.55,722.686,176.058,781.851,839.036,312.705,740.598,631.023,325.75,681.266,561.841,141.71,1013.21,501.509,81.9568,976.303,381.86,52.0627,708.304,300.708,294.279,637.814,303.184,385.97,639.733,295.082,78.9673,474.135,647.427,573.714,510.344,671.278,457.251,82.066,682.659,581.263,24.364,717.91,661.452,27.8759,735.086,57.1329,506.444,473.044,517.73,512.383,287.446,414.309,82.85,243.62,532.604,23.7889,193.929,609.362,26.0682,164.936,
0.1,70.7626,1012.42,557.374,18.4058,875.394,589.507,10.8062,774.792,599.049,15.7603,689.976,596.202,2.57741,575.909,584.356,133.678,1068.9,535.714,152.154,1155.26,520.704,130.348,1331.69,497.998,153.299,1028.54,585.415,136.243,1036.71,722.858,183.82,782.111,833.407,317.441,737.237,624.181,333.804,677.675,555.907,139.737,1014.1,501.711,80.3304,977.071,381.929,52.0449,708.556,301.91,294.45,638.681,302.975,386.079,640.747,294.237,78.0395,474.653,647.777,572.827,510.098,671.922,457.499,81.4754,681.811,581.691,24.1328,717.014,661.857,27.8817,734.244,56.3907,506.949,473.369,517.055,512.539,287.925,414.682,82.8231,243.432,532.946,23.7477,193.684,609.639,26.0101,164.52,
0.116667,68.3061,1013.22,557.686,16.5089,875.953,589.692,9.27929,775.315,599.15,14.5205,690.519,596.221,1.61997,576.435,584.227,130.983,1070,536.112,149.035,1156.41,520.917,126.365,1332.68,497.787,150.746,1029.68,585.814,133.677,1037.63,723.268,191.863,782.345,826.942,322.497,733.302,616.768,341.677,673.642,549.318,137.325,1015.23,502.089,78.1185,977.953,382.284,51.8965,708.987,303.082,294.459,639.656,302.68,386.06,641.732,293.642,77.2453,475.261,647.583,572.057,510.072,672.134,457.975,81.093,680.929,582.205,24.0275,716.447,662.308,27.9658,733.926,55.6928,507.746,473.198,516.634,512.904,288.433,415.178,83.0015,243.646,533.43,23.7441,194.086,610.099,25.893,164.85,
0.133333,65.8207,1013.52,557.778,14.3512,876.044,589.408,7.38098,775.375,598.718,12.8573,690.595,595.732,0.224739,576.492,583.64,128.366,1070.55,536.49,146.084,1157.03,521.255,122.694,1333.17,497.879,148.122,1030.2,586.186,131.369,1037.81,723.697,199.807,782.179,820.001,327.441,728.91,609.014,349.111,669.182,542.384,135.004,1015.83,502.397,75.4897,978.64,382.719,51.4772,709.367,303.862,294.237,640.746,302.203,385.862,642.582,293.365,75.8478,475.446,647.203,570.645,510.298,671.991,458.476,80.8035,680.218,582.734,24.0217,716.092,662.772,28.1115,733.833,54.7783,507.941,472.761,516.057,513.326,288.847,415.003,83.3723,243.644,533.141,23.7741,194.221,609.782,25.6863,164.893,
0.15,63.0805,1014.13,557.991,12.055,876.424,589.326,5.40037,775.713,598.421,11.1323,690.958,595.231,1.22859,576.862,582.797,125.421,1071.45,536.87,142.692,1158.01,521.584,118.346,1334,498.066,145.287,1031.05,586.533,129.424,1037.34,724.216,207.242,781.603,812.783,332.105,724.028,601.27,355.917,664.665,535.046,132.325,1016.78,502.703,72.5703,979.513,383.168,50.9426,710.035,304.322,293.836,641.922,301.632,385.504,643.211,293.15,74.5282,475.777,646.14,569.281,510.803,671.553,459.263,80.7462,679.436,583.425,24.1078,715.863,663.373,28.2729,733.989,53.6095,508.774,471.774,515.528,514.109,289.473,415.3,84.0501,243.437,533.399,24.2368,194.182,610.036,26.0264,164.836,
0.166667,60.4091,1014.55,557.633,9.8177,876.657,588.87,3.47537,775.92,597.891,9.45741,691.184,594.63,2.62472,577.069,582.102,122.534,1072.11,536.557,139.339,1158.75,521.158,113.99,1334.57,497.449,142.557,1031.71,586.199,127.876,1036.05,724.088,213.959,780.601,805.56,336.255,718.972,593.689,361.771,660.154,527.613,129.654,1017.45,502.358,69.5536,980.302,382.96,50.2336,710.573,304.371,293.314,643.162,301.002,385.025,643.673,292.907,73.3845,476.109,645.342,568.064,511.812,671.229,460.221,81.2017,678.987,584.177,24.5242,716.051,664.024,28.7065,734.613,52.356,509.21,471.008,514.798,514.431,290.038,414.933,84.2683,244.185,532.816,24.048,194.908,609.384,25.5477,165.368,
0.183333,57.8396,1014.97,557.579,7.50381,876.889,588.395,1.36051,776.113,597.116,7.51033,691.4,593.589,4.38718,577.31,580.659,119.827,1072.76,536.713,136.257,1159.48,521.421,110.077,1335.21,497.927,139.922,1032.22,586.273,126.522,1034.57,724.342,219.691,779.343,798.386,339.707,713.758,586.399,366.64,655.882,520.054,127.134,1018.16,502.382,67.1194,981.121,382.908,49.4602,711.28,304.312,292.706,644.508,300.243,384.471,643.995,292.791,71.7074,476.233,643.607,566.26,512.543,671.032,460.773,81.3449,678.532,584.382,24.5468,716.557,664.074,28.6502,735.792,50.7957,509.93,469.374,514.116,514.753,290.654,414.419,84.5777,244.56,532.033,23.9545,195.135,608.529,25.1844,165.396,
0.2,55.0557,1015.54,557.661,5.11231,877.195,587.938,0.751164,776.372,596.289,5.62173,691.688,592.482,6.03485,577.61,579.223,116.838,1073.62,537.012,132.822,1160.47,521.961,105.673,1336.13,499.031,137.099,1032.9,586.399,125.106,1033.31,724.616,224.209,778.231,791.057,342.299,708.549,579.296,370.409,651.793,512.474,124.324,1019.14,502.456,64.6636,981.913,382.863,48.6601,712.038,304.03,292.046,645.807,299.478,383.868,644.362,292.903,70.2958,476.525,641.872,564.733,513.263,670.762,461.436,81.5316,678.071,584.609,24.4997,717.147,664.125,28.4369,737.127,49.2477,510.645,467.738,513.461,515.258,291.348,414.23,85.0117,244.908,531.53,24.1213,195.066,607.904,25.1721,165.009,
0.216667,52.3303,1015.92,557.805,2.68998,877.348,587.497,2.92668,776.479,595.466,3.66477,691.826,591.367,7.70676,577.765,577.72,113.964,1074.27,537.445,129.59,1161.23,522.665,101.661,1336.83,500.282,134.305,1033.38,586.69,123.318,1032.64,724.989,227.509,777.576,783.229,344.049,703.413,572.132,372.915,647.839,504.642,121.642,1019.91,502.681,62.1211,982.673,383.022,47.7832,712.872,303.62,291.289,647.11,298.716,383.165,644.829,293.216,68.813,476.663,640.111,563.115,513.781,670.775,461.734,81.5901,677.727,584.36,24.2336,718.028,663.661,27.9643,738.887,47.829,511.288,466.069,512.91,515.321,291.966,413.64,85.0866,245.502,530.423,23.8091,194.927,606.6,24.5939,164.363,
0.233333,49.4362,1016.36,558.077,0.186918,877.553,587.323,5.15172,776.644,594.973,1.6662,692.022,590.618,9.43522,577.974,576.643,110.883,1074.97,537.899,126.16,1162.03,523.344,97.498,1337.58,501.469,131.366,1033.95,587.006,121.378,1032.39,725.374,229.763,777.224,774.843,344.828,698.368,564.639,374.421,644.22,496.31,118.728,1020.73,502.956,59.4645,983.442,383.182,46.7362,713.726,303.217,290.395,648.568,297.899,382.31,645.356,293.664,67.3179,476.876,638.751,561.495,514.402,670.899,462.127,81.7359,677.35,584.256,24.0895,718.731,663.346,27.656,740.405,46.2578,511.941,464.806,512.121,515.456,292.797,413.361,85.136,246.037,529.618,23.6654,194.493,605.549,24.3098,163.323,
0.25,46.4159,1016.94,558.497,2.29839,877.841,587.285,7.31456,776.892,594.615,0.27364,692.299,590.033,11.1908,578.257,575.872,107.614,1075.85,538.456,122.53,1163.02,524.198,93.1538,1338.54,503.05,128.331,1034.7,587.36,119.42,1032.39,725.791,231.147,777.028,765.92,344.797,693.544,556.736,374.882,640.865,487.48,115.601,1021.75,503.28,56.4469,984.341,383.492,45.5459,714.729,302.907,289.342,650.127,297.118,381.275,646.135,294.097,65.8831,477.211,637.668,559.953,514.928,671.204,462.607,81.7929,676.99,584.275,23.8981,719.371,663.151,27.3059,741.831,44.3712,512.48,463.82,510.984,515.688,293.85,413.409,85.1502,246.609,529.134,23.6949,193.864,604.764,24.3335,161.968,
0.266667,43.3024,1017.53,559.375,4.97572,878.223,587.851,9.7111,777.234,594.805,2.46209,692.682,589.824,13.0793,578.678,575.138,104.301,1076.65,539.315,119.025,1163.89,525.308,89.3199,1339.44,504.889,125.277,1035.39,588.01,117.449,1032.51,726.496,231.729,776.917,756.743,344.003,688.969,548.648,374.408,637.899,478.335,112.279,1022.71,503.931,53.7197,985.297,383.852,44.1074,715.751,302.885,288.074,651.858,296.446,380.013,647.447,294.352,64.5023,477.548,636.157,558.418,515.385,671.763,463.002,81.8094,676.641,584.258,23.6818,719.877,662.932,26.9601,743.055,42.3219,513.658,462.565,509.925,515.563,295.322,413.316,84.9329,246.951,528.497,23.4423,193.069,603.852,24.0638,160.53,
0.283333,40.0673,1018.43,559.841,7.53286,878.904,588.405,11.9153,777.891,595.246,4.46644,693.366,590.109,14.9347,579.356,575.361,100.745,1077.77,539.491,115.202,1165.08,525.58,85.0659,1340.62,505.725,122.156,1036.54,587.987,115.426,1032.57,726.504,231.572,776.913,747.802,342.405,684.774,540.751,373.027,635.427,469.31,108.675,1023.94,503.972,50.6818,986.183,383.725,42.3526,716.477,303.152,286.618,653.816,295.979,378.567,649.346,294.537,63.2566,478.321,635.757,557.102,516.259,672.22,464.107,82.1497,676.255,585.187,23.9783,719.923,663.725,27.2454,743.558,39.8581,514.573,462.354,507.842,516.208,296.176,413.988,84.9952,247.571,528.727,23.8516,192.367,603.708,24.675,158.98,
0.3,37.1668,1019.18,560.38,9.99139,879.501,588.908,14.1648,778.466,595.556,6.61124,693.963,590.207,16.9908,579.966,575.298,97.6402,1078.66,539.804,112.041,1166,526.095,81.9167,1341.63,506.984,119.388,1037.39,588.075,113.325,1032.52,726.594,230.661,776.858,739.627,340.049,681.134,533.435,370.589,633.637,460.717,105.427,1024.95,504.113,47.6196,987.185,383.781,40.39,717.198,304.046,285.018,656.097,295.812,376.97,651.602,294.776,61.6813,478.936,635.075,555.447,517.013,672.466,464.994,82.3615,675.916,586.057,24.2641,719.73,664.514,27.6112,743.623,37.2749,515.475,461.872,505.807,516.579,297.241,413.757,85.1545,247.091,528.006,24.1675,190.709,602.68,25.0975,156.643,
0.316667,34.4884,1019.96,560.482,12.2455,880.146,589.058,16.244,779.098,595.603,8.6274,694.609,590.123,19.0224,580.619,575.167,94.7722,1079.55,539.675,109.159,1166.92,526.123,79.1377,1342.63,507.61,116.818,1038.29,587.77,111.447,1032.55,726.284,228.954,776.709,732.485,336.954,678.133,526.906,367.279,632.69,452.799,102.44,1025.94,503.865,44.5841,988.352,383.502,38.2974,717.79,305.657,283.366,658.67,296.176,375.315,654.127,294.991,60.0181,479.58,634.44,553.688,517.329,673.388,465.351,82.2364,675.943,586.493,24.1124,719.501,664.938,27.4571,743.435,34.6684,516.247,461.4,503.583,516.744,297.86,413.232,85.0419,247.015,526.981,24.0196,189.669,601.352,24.9076,154.944,
0.333333,31.949,1020.86,560.521,14.5775,880.964,589.049,18.5213,779.903,595.42,10.9196,695.425,589.742,21.3616,581.461,574.626,92.1484,1080.47,539.538,106.69,1167.85,526.189,77.1189,1343.7,508.327,114.402,1039.17,587.444,109.895,1032.75,725.958,226.531,776.427,726.502,333.093,675.854,521.141,363.448,632.479,445.816,99.6215,1026.99,503.586,41.8209,989.733,383.09,36.2707,718.401,307.918,281.795,661.45,297.047,373.731,656.856,295.234,58.0093,480.335,633.306,551.537,517.474,674.582,465.2,81.9763,676.441,586.508,23.8548,719.539,664.984,27.199,743.37,31.7636,517.316,460.466,501.17,516.922,298.344,412.592,84.9863,246.373,525.983,23.8911,188.399,600.14,24.7273,153.22,
0.35,29.1561,1021.81,560.38,17.1035,881.812,588.854,20.948,780.739,595.112,13.3133,696.273,589.314,23.7683,582.324,574.09,89.2655,1081.48,539.31,103.934,1168.85,526.103,74.7462,1344.81,508.623,111.656,1040.2,587.105,108.707,1033.21,725.635,223.65,776.156,721.757,328.698,674.041,516.376,359.293,632.869,439.921,96.6674,1028.1,503.272,39.2277,991.152,382.509,34.4673,718.899,310.684,280.454,664.248,298.551,372.367,659.852,295.501,55.7648,481.142,632.451,549.166,517.644,675.759,464.99,81.7218,677.153,586.635,23.6668,719.381,665.225,27.0701,742.826,29.0828,518.324,459.721,498.848,517.352,298.646,412.185,85.1392,245.761,525.297,23.9057,187.39,599.283,24.6544,151.849,
0.366667,26.2772,1022.52,560.022,19.8061,882.418,588.23,23.5763,781.334,594.347,15.9002,696.877,588.471,26.3371,582.933,573.198,86.3673,1082.26,539.078,101.232,1169.63,526.054,72.5575,1345.7,508.857,108.75,1040.97,586.792,107.283,1033.36,725.312,220.415,775.571,718.184,324.065,672.582,512.53,354.903,633.473,435.095,93.7875,1029.01,502.935,37.2688,992.566,381.586,32.9535,719.345,313.509,279.418,667.191,300.13,371.282,662.976,295.676,53.2401,481.757,631.51,546.44,517.964,677.287,464.478,81.6192,678.364,586.534,23.6384,719.494,665.286,27.1045,742.379,26.4811,518.962,458.798,496.579,517.857,298.698,411.917,85.3235,245.192,524.865,23.8441,186.761,598.754,24.4341,151.017,
0.383333,23.3904,1023.15,559.739,22.5853,882.986,587.855,26.3232,781.895,593.87,18.6338,697.448,587.868,29.0492,583.533,572.369,83.4984,1082.87,538.829,98.6341,1170.2,525.788,70.6399,1346.36,508.445,105.846,1041.64,586.529,105.353,1033.67,725.036,216.726,775.203,715.421,319.392,671.37,509.698,350.603,633.799,431.654,90.9014,1029.72,502.663,35.5837,993.854,380.591,31.7927,719.797,315.924,278.721,670.133,301.663,370.516,666.241,295.727,50.5292,482.234,630.466,543.484,518.21,678.982,463.743,81.4542,679.875,586.235,23.5156,719.746,665.188,27.0222,741.922,23.8005,519.831,457.833,494.146,518.414,298.463,411.792,85.4732,244.654,524.72,23.7066,186.489,598.59,24.1153,150.703,
0.4,20.049,1023.92,559.857,25.5108,883.588,587.779,29.0197,782.477,593.591,21.1694,698.06,587.378,31.3723,584.165,571.59,80.0375,1083.78,538.962,95.2937,1171.08,525.91,67.7106,1347.3,508.506,102.495,1042.59,586.558,102.985,1034.13,725.036,212.684,775.021,713.518,314.755,670.219,507.99,346.701,633.836,429.681,87.4559,1030.78,502.692,34.2208,994.685,379.765,30.925,720.076,317.458,278.363,673.057,303.066,370.061,669.594,295.569,48.4902,482.863,629.289,541.159,518.728,680.708,463.506,81.5952,681.288,586.395,23.5886,719.819,665.572,27.0642,741.186,21.4518,520.898,456.801,492.133,519.17,298.429,412.337,85.8365,243.934,525.475,23.7932,186.474,599.471,24.0562,150.948,
0.416667,17.1134,1024.04,559.672,28.4446,883.677,587.459,31.9679,782.566,593.264,24.1133,698.147,587.08,34.2866,584.252,571.277,77.2056,1083.85,538.943,92.8619,1171.05,525.72,66.2406,1347.35,507.672,99.4773,1042.75,586.596,100.354,1034.12,725.062,208.097,774.239,712.589,310.458,669.151,507.351,343.306,633.597,429.035,84.6703,1030.94,502.689,33.481,995.205,378.792,30.3321,720.178,318.346,278.298,675.999,304.039,369.905,673.109,295.298,45.4025,482.948,629.213,537.872,519.145,682.28,463.076,81.5147,682.714,586.451,23.5937,719.793,665.88,27.0991,740.196,18.8496,520.963,456.645,489.096,520.106,296.981,412.238,86.1049,243.581,525.552,23.7093,186.857,599.616,23.7277,151.47,
0.433333,14.1668,1024.19,559.743,31.3227,883.769,587.32,34.8201,782.654,593.085,26.9307,698.237,586.926,37.0356,584.333,571.141,74.3425,1083.98,539.209,90.4077,1171.09,525.818,64.7973,1347.48,507.129,96.4447,1042.96,586.885,97.626,1034.12,725.335,203.233,773.366,712.678,306.176,668.231,507.756,340.152,633.366,429.611,81.8589,1031.2,502.933,32.7151,995.672,378.152,30.0854,720.434,318.653,278.557,679.078,304.68,370.082,676.875,294.938,42.5457,483.087,629.326,534.842,519.611,683.766,462.735,81.5293,683.915,586.48,23.5764,719.687,666.151,27.0404,739.133,16.392,520.993,456.673,486.174,520.963,295.644,411.958,86.4154,242.963,525.594,23.6092,187.347,599.857,23.3544,152.381,
0.45,11.1677,1024.24,559.979,34.1211,883.773,587.659,37.5384,782.659,593.468,29.5985,698.246,587.306,39.6175,584.343,571.463,71.3592,1084,539.394,87.8186,1170.97,525.622,63.2434,1347.41,506.009,93.4171,1043.15,587.112,95.0936,1034.28,725.555,198.323,772.556,713.497,301.943,667.59,508.829,337.165,633.252,431.004,78.8525,1031.31,503.167,31.5849,996.051,377.586,30.2033,720.744,318.365,279.192,682.368,305.122,370.644,680.901,294.582,40.0224,483.107,629.585,532.185,520.197,684.845,462.562,81.7134,684.484,586.547,23.614,719.173,666.436,26.9456,737.725,13.881,521.132,456.956,483.072,521.872,294.215,411.398,86.7795,242.517,525.525,23.5363,188.422,600.1,22.9697,154.131,
0.466667,8.09285,1024.39,560.536,36.9208,883.841,588.292,40.2231,782.723,594.093,32.2163,698.318,587.914,42.0935,584.395,572.121,68.2581,1084.11,539.795,85.1469,1170.95,525.695,61.739,1347.47,505.45,90.3992,1043.39,587.425,92.8655,1034.38,725.847,193.792,771.715,714.829,297.922,667.446,510.064,334.41,633.352,432.715,75.5942,1031.56,503.521,30.2557,996.247,377.247,30.6061,721.012,317.678,280.149,685.99,305.611,371.534,685.399,294.429,37.8834,483.317,630.055,530.003,520.874,685.38,462.382,82.0775,684.457,586.458,23.6819,718.313,666.543,26.7773,736.044,11.1964,521.239,457.487,479.524,522.866,292.284,410.219,87.2181,242.053,524.968,23.5676,189.781,599.924,22.6847,156.337,
0.483333,5.2819,1024.43,560.948,39.5425,883.858,588.886,42.8169,782.742,594.743,34.831,698.335,588.562,44.7347,584.414,572.775,65.4715,1084.07,540.038,82.8936,1170.74,525.528,60.8916,1347.34,504.445,87.6254,1043.53,587.656,90.9863,1034.47,726.056,189.887,770.989,716.14,294.357,667.548,511.129,331.833,633.606,434.187,72.659,1031.63,503.789,28.569,996.089,377.138,31.2629,721.046,316.745,281.393,689.909,306.291,372.717,690.348,294.62,35.3707,483.321,630.505,527.516,521.455,685.209,461.664,82.3909,684.034,585.714,23.6894,717.451,665.954,26.5387,734.509,8.31658,521.3,458.007,475.786,523.938,290.404,408.236,87.8525,241.597,523.782,23.8318,191.581,599.234,22.6936,159.281,
0.5,2.55607,1024.62,561.431,42.1888,884.064,589.557,45.489,782.952,595.464,37.5512,698.54,589.283,47.4416,584.614,573.527,62.8245,1084.12,540.322,80.9084,1170.58,525.426,60.6111,1347.3,503.618,84.9743,1043.73,587.899,89.0397,1034.67,726.279,186.982,770.803,716.977,291.598,667.836,511.801,329.609,633.793,435.167,69.7722,1031.8,504.08,26.3911,995.576,377.377,32.363,720.799,316.018,283.041,693.882,307.078,374.347,695.608,295.382,32.8788,483.566,631.038,525.143,522.016,684.432,460.411,82.7854,683.228,584.305,23.689,716.53,664.666,26.227,733.062,5.34025,521.537,458.615,471.687,524.722,287.921,404.883,88.3409,240.759,521.271,24.0063,193.157,597.243,22.6317,162.109,
0.516667,0.122658,1024.88,561.841,44.66,884.3,590.193,47.9446,783.189,596.153,40.0519,698.775,589.952,50.0089,584.856,574.189,60.1637,1084.27,540.497,78.8467,1170.54,525.214,60.1488,1347.35,502.72,82.3621,1044.08,588.038,87.3671,1034.97,726.385,185.013,770.986,717.265,289.74,668.069,512.122,327.915,633.662,435.732,66.9068,1032.08,504.275,24.2254,994.847,377.626,34.0556,720.307,315.705,285.2,697.717,307.982,376.491,700.866,296.46,30.4646,483.761,631.402,522.851,522.754,683.255,458.615,83.4497,682.286,582.269,23.9328,715.732,662.72,26.1366,731.869,2.41804,521.835,459.083,467.497,525.461,284.974,400.503,88.943,239.376,517.847,24.4764,194.371,594.379,22.9852,164.735,
0.533333,2.46306,1025.14,562.206,46.9374,884.586,590.773,50.2895,783.479,596.748,42.5008,699.059,590.489,52.5457,585.153,574.683,57.8947,1084.36,540.594,77.2603,1170.42,524.966,60.3432,1347.34,501.947,80.136,1044.31,588.06,85.6892,1035.22,726.388,184.024,771.504,717.104,288.75,668.018,512.246,327.04,633.044,436.172,64.3322,1032.3,504.364,22.3827,993.906,377.819,36.52,719.594,315.717,288.051,701.402,309.025,379.326,705.808,297.795,28.1326,483.992,631.489,520.622,523.402,682.035,455.89,84.1703,681.406,579.175,24.1562,715.318,659.672,25.9531,731.274,0.574596,522.233,459.316,463.203,525.819,281.769,394.793,89.3812,237.527,513.135,24.9654,195.139,590.23,23.4889,167,
0.55,4.41979,1025.45,562.471,48.8766,884.913,591.128,52.3285,783.809,597.083,44.671,699.38,590.784,54.8677,585.483,575.01,56.0168,1084.52,540.658,76.0264,1170.39,524.8,60.7861,1347.42,501.492,78.2906,1044.56,588.018,84.1535,1035.44,726.33,183.852,772.254,716.6,288.763,667.546,512.458,327.276,631.832,436.842,62.1573,1032.61,504.376,21.3329,992.718,377.924,39.8439,718.636,315.958,291.683,704.938,310.226,382.942,710.433,299.35,25.9447,484.265,631.522,518.511,524.04,681.021,452.14,85.0529,680.676,574.997,24.4675,715.121,655.521,25.8166,730.988,3.36985,522.519,459.455,459.123,525.731,278.581,387.816,89.6544,235.366,507.08,25.4319,195.333,584.69,24.0792,168.64,
